Date,Value
01/12/2022,17.78
02/12/2022,17.795
03/12/2022,17.655
04/12/2022,17.655
05/12/2022,17.64
06/12/2022,16.79
07/12/2022,16.84
08/12/2022,16.655
09/12/2022,16.71
10/12/2022,16.705
11/12/2022,16.705
12/12/2022,16.655
13/12/2022,16.74
14/12/2022,16.75
15/12/2022,16.66
16/12/2022,16.68
17/12/2022,16.65
18/12/2022,16.65
19/12/2022,17.09
20/12/2022,17.68
21/12/2022,17.925
22/12/2022,17.88
23/12/2022,17.935
24/12/2022,18.015
25/12/2022,18.015
26/12/2022,18.015
27/12/2022,18.01
28/12/2022,17.895
29/12/2022,17.79
30/12/2022,18
31/12/2022,17.995
01/01/2023,17.995
02/01/2023,17.995
03/01/2023,18.11
04/01/2023,17.715
05/01/2023,17.075
06/01/2023,17.395
07/01/2023,17.25
08/01/2023,17.25
09/01/2023,17.515
10/01/2023,17.665
11/01/2023,17.445
12/01/2023,17.365
13/01/2023,18.25
14/01/2023,18.15
15/01/2023,18.15
16/01/2023,18.05
17/01/2023,17.875
18/01/2023,17.87
19/01/2023,17.905
20/01/2023,17.995
21/01/2023,18.035
22/01/2023,18.035
23/01/2023,18.195
24/01/2023,18.16
25/01/2023,18.15
26/01/2023,18.26
27/01/2023,18.26
28/01/2023,18.33
29/01/2023,18.33
30/01/2023,18.27
31/01/2023,18.02
01/02/2023,17.82
02/02/2023,17.91
03/02/2023,17.735
04/02/2023,17.71
05/02/2023,17.71
06/02/2023,17.57
07/02/2023,17.485
08/02/2023,17.595
09/02/2023,18.035
10/02/2023,18.09
11/02/2023,18.075
12/02/2023,18.075
13/02/2023,17.925
14/02/2023,17.655
15/02/2023,17.52
16/02/2023,17.59
17/02/2023,17.47
18/02/2023,17.49
19/02/2023,17.49
20/02/2023,17.485
21/02/2023,17.315
22/02/2023,17.005
23/02/2023,16.735
24/02/2023,16.74
25/02/2023,16.775
26/02/2023,16.775
27/02/2023,16.72
28/02/2023,16.96
01/03/2023,16.895
02/03/2023,17.13
03/03/2023,17.065
04/03/2023,16.985
05/03/2023,16.985
06/03/2023,16.83
07/03/2023,16.21
08/03/2023,16.025
09/03/2023,15.94
10/03/2023,15.99
11/03/2023,15.975
12/03/2023,15.975
13/03/2023,16.155
14/03/2023,16.995
15/03/2023,17.325
16/03/2023,17.345
17/03/2023,17.205
18/03/2023,17.2
19/03/2023,17.2
20/03/2023,17.255
21/03/2023,17.335
22/03/2023,17.21
23/03/2023,17.41
24/03/2023,17.785
25/03/2023,17.88
26/03/2023,17.88
27/03/2023,17.865
28/03/2023,17.78
29/03/2023,17.735
30/03/2023,17.67
31/03/2023,17.65
01/04/2023,17.415
02/04/2023,17.415
03/04/2023,17.25
04/04/2023,16.73
05/04/2023,16.775
06/04/2023,16.635
07/04/2023,16.635
08/04/2023,16.635
09/04/2023,16.635
10/04/2023,16.39
11/04/2023,16.7
12/04/2023,17.545
13/04/2023,17.5
14/04/2023,17.49
15/04/2023,17.385
16/04/2023,17.385
17/04/2023,17.295
18/04/2023,17.365
19/04/2023,17.265
20/04/2023,17.125
21/04/2023,17.005
22/04/2023,16.915
23/04/2023,16.915
26/04/2023,17.04
27/04/2023,16.87
28/04/2023,17.31
29/04/2023,17.33
30/04/2023,17.33
01/05/2023,17.195
02/05/2023,17.72
03/05/2023,17.73
04/05/2023,17.77
05/05/2023,18
06/05/2023,17.945
07/05/2023,17.945
08/05/2023,18.13
09/05/2023,17.82
10/05/2023,18.12
11/05/2023,18.04
12/05/2023,18.44
13/05/2023,18.485
14/05/2023,18.485
15/05/2023,17.94
16/05/2023,17.605
17/05/2023,17.33
18/05/2023,17.375
19/05/2023,17.13
20/05/2023,17.065
21/05/2023,17.065
22/05/2023,16.815
23/05/2023,16.69
24/05/2023,16.615
25/05/2023,16.6
26/05/2023,17.14
27/05/2023,17.07
28/05/2023,17.07
29/05/2023,16.925
30/05/2023,17.095
31/05/2023,17.15
01/06/2023,17.545
02/06/2023,17.695
03/06/2023,17.69
04/06/2023,17.69
05/06/2023,17.86
06/06/2023,18.055
07/06/2023,18.29
08/06/2023,18.6
09/06/2023,18.98
10/06/2023,19.025
11/06/2023,19.025
12/06/2023,19.64
13/06/2023,18.32
